iter	Passed	Remaining
625	4229	2526
626	4231	2517
627	4233	2507
628	4235	2498
629	4237	2488
630	4238	2478
631	4239	2468
632	4241	2459
633	4243	2449
634	4244	2440
635	4246	2430
636	4247	2420
637	4319	2450
638	4339	2451
639	4348	2445
640	4349	2436
641	4353	2427
642	4355	2418
643	4356	2408
644	4358	2398
645	4359	2389
646	4361	2379
647	4362	2369
648	4363	2360
649	4365	2350
650	4373	2344
651	4419	2359
652	4421	2349
653	4423	2340
654	4425	2330
655	4426	2321
656	4428	2311
657	4429	2302
658	4431	2293
659	4433	2283
660	4434	2274
661	4436	2265
662	4438	2255
663	4439	2246
664	4441	2237
665	4443	2228
666	4445	2219
667	4446	2210
668	4450	2202
669	4455	2194
670	4456	2185
671	4458	2176
672	4460	2167
673	4462	2158
674	4467	2151
675	4469	2142
676	4471	2133
677	4473	2124
678	4476	2116
679	4481	2108
680	4482	2099
681	4484	2090
682	4486	2082
683	4488	2073
684	4491	2065
685	4493	2056
686	4495	2048
687	4497	2039
688	4498	2030
689	4500	2022
690	4502	2013
691	4504	2004
692	4505	1995
693	4506	1986
694	4507	1978
695	4508	1969
696	4509	1960
697	4511	1951
698	4512	1943
699	4513	1934
700	4514	1925
701	4515	1917
702	4517	1908
703	4520	1900
704	4522	1892
705	4533	1887
706	4549	1885
707	4582	1889
708	4602	1888
709	4609	1882
710	4613	1875
711	4638	1876
712	4646	1870
713	4648	1862
714	4650	1853
715	4652	1845
716	4655	1837
717	4657	1829
718	4669	1824
719	4673	1817
720	4678	1810
721	4680	1802
722	4681	1793
723	4682	1785
724	4683	1776
725	4685	1768
726	4687	1760
727	4688	1751
728	4689	1743
729	4690	1734
730	4692	1726
731	4693	1718
732	4694	1710
733	4695	1701
734	4697	1693
735	4699	1685
736	4702	1677
737	4703	1669
738	4704	1661
739	4705	1653
740	4705	1644
741	4707	1636
742	4708	1628
743	4710	1620
744	4711	1612
745	4713	1604
746	4714	1596
747	4732	1594
748	4769	1598
749	4778	1592
750	4784	1586
751	4788	1579
752	4790	1571
753	4792	1563
754	4794	1555
755	4801	1549
756	4803	1541
757	4806	1534
758	4808	1526
759	4811	1519
760	4814	1511
761	4816	1504
762	4818	1496
763	4821	1489
764	4822	1481
765	4824	1473
766	4825	1465
767	4826	1458
768	4828	1450
769	4830	1442
770	4831	1435
771	4832	1427
772	4834	1419
773	4835	1411
774	4836	1404
775	4838	1396
776	4839	1388
777	4841	1381
778	4842	1373
779	4843	1366
780	4844	1358
781	4846	1350
782	4847	1343
783	4848	1335
784	4850	1328
785	4851	1320
786	4852	1313
787	4854	1305
788	4860	1299
789	4873	1295
790	4880	1289
791	4882	1282
792	4944	1290
793	4955	1285
794	4957	1278
795	4963	1272
